id,season,match_no,date,player_name,O,M,R,W,ECON,WD,NB
43,2017/18,"Eliminator,", Dec 8 2017,Abu Jayed,3,0,23,0,7.66,1,0
412,2017/18,34th,Nov 29 2017,Hasan Ali,4,0,38,0,9.50,0,0
410,2017/18,36th, Dec 2 2017,Sunil Narine,3,0,11,0,3.66,0,0
48,2017/18,38th, Dec 3 2017,Mashrafe Mortaza,4,0,21,0,5.25,0,0
46,2017/18,40th, Dec 5 2017,Rayad Emrit,3,0,28,1,9.33,2,0
420,2017/18,26th,Nov 24 2017,Tanbir Hayder,2,0,20,0,10.00,1,0
418,2017/18,28th,Nov 25 2017,Stiaan van Zyl,2,0,30,0,15.00,0,0
417,2017/18,29th,Nov 27 2017,Tanbir Hayder,2,0,18,1,9.00,0,0
419,2017/18,27th,Nov 25 2017,Dwayne Smith,3,0,27,2,9.00,0,0
413,2017/18,33rd,Nov 29 2017,Usama Mir,4,0,15,1,3.75,1,0
41,2017/18,Qualifier,0 - 11 2017,Mashrafe Mortaza,4,0,40,1,10.00,2,0
42,2017/18,Qualifier, Dec 8 2017,Shakib Al Hasan,3,0,19,2,6.33,0,0
146,2012/13,1st,Jan 18 2013,Chris Liddle,4,0,29,0,7.25,1,0
47,2017/18,39th, Dec 5 2017,Carlos Brathwaite,3,0,15,1,5.00,1,0
45,2017/18,41st, Dec 6 2017,Sunil Narine,4,1,18,1,4.50,0,0
44,2017/18,42nd, Dec 6 2017,Mahedi Hasan,4,0,31,2,7.75,0,0
43,2017/18,"Eliminator,", Dec 8 2017,Mahmudullah,2,0,30,0,15.00,0,0
412,2017/18,34th,Nov 29 2017,Al-Amin Hossain,3,0,26,0,8.66,0,0
410,2017/18,36th, Dec 2 2017,Kieron Pollard,2,0,19,1,9.50,0,0
48,2017/18,38th, Dec 3 2017,Isuru Udana,4,0,37,1,9.25,3,0
46,2017/18,40th, Dec 5 2017,Tanbir Hayder,1,0,15,0,15.00,0,0
420,2017/18,26th,Nov 24 2017,Soumya Sarkar,3,0,17,2,5.66,1,0
418,2017/18,28th,Nov 25 2017,Sunzamul Islam,3,0,23,1,7.66,0,0
413,2017/18,33rd,Nov 29 2017,Qazi Onik,3.2,0,17,4,5.10,1,0
41,2017/18,Qualifier,0 - 11 2017,Rubel Hossain,4,0,34,3,8.50,2,1
42,2017/18,Qualifier, Dec 8 2017,Sunil Narine,3,1,9,1,3.00,0,0
146,2012/13,1st,Jan 18 2013,Shakib Al Hasan,4,0,27,1,6.75,0,0
47,2017/18,39th, Dec 5 2017,Mohammad Irfan,3,0,26,1,8.66,0,0
