id,season,match_no,date,player_name,O,M,R,W,ECON,WD,NB
140,2012/13,7th,Jan 22 2013,Arafat Sunny,4,0,37,0,9.25,1,0
141,2012/13,6th,Jan 20 2013,Taijul Islam,4,0,20,2,5.00,3,0
137,2012/13,10th,Jan 23 2013,Farhad Reza,2,0,23,0,11.50,0,0
139,2012/13,8th,Jan 22 2013,Mashrafe Mortaza,2,0,16,0,8.00,0,0
143,2012/13,4th,Jan 19 2013,Shakib Al Hasan,4,0,17,2,4.25,0,0
144,2012/13,3rd,Jan 19 2013,Naeem Islam jnr,4,0,16,1,4.00,0,0
124,2012/13,23rd, Feb 2 2013,Taijul Islam,4,0,34,1,8.50,0,0
123,2012/13,24th, Feb 2 2013,Kaushal Lokuarachchi,3,0,26,2,8.66,1,0
122,2012/13,25th, Feb 4 2013,Dilshan Munaweera,3,0,27,1,9.00,0,0
128,2012/13,19th,Jan 31 2013,Bishawnath Halder,4,0,25,0,6.25,0,0
136,2012/13,11th,Jan 24 2013,Jacob Oram,4,0,18,1,4.50,2,0
127,2012/13,20th,Jan 31 2013,Mahmudullah,4,0,36,0,9.00,2,0
135,2012/13,12th,Jan 24 2013,Asif Ahmed,4,0,30,1,7.50,0,0
126,2012/13,21st, Feb 1 2013,Dilshan Munaweera,4,0,18,1,4.50,1,0
138,2012/13,9th,Jan 23 2013,Dimitri Mascarenhas,4,0,24,1,6.00,0,0
125,2012/13,22nd, Feb 1 2013,Mahmudullah,3,0,13,0,4.33,0,0
129,2012/13,18th,Jan 29 2013,Daniel Harris,4,0,22,3,5.50,1,0
134,2012/13,13th,Jan 25 2013,Alfonso Thomas,3,0,27,2,9.00,0,0
133,2012/13,14th,Jan 25 2013,Farhad Reza,4,0,39,1,9.75,0,0
132,2012/13,15th,Jan 28 2013,Mominul Haque,1,0,14,0,14.00,0,0
145,2012/13,2nd,Jan 18 2013,Mohammad Nabi,4,0,15,2,3.75,2,0
130,2012/13,17th,Jan 29 2013,Mashrafe Mortaza,4,1,14,1,3.50,1,0
131,2012/13,16th,Jan 28 2013,Alok Kapali,4,0,23,3,5.75,0,0
142,2012/13,5th,Jan 20 2013,Nabil Samad,4,0,18,0,4.50,0,0
140,2012/13,7th,Jan 22 2013,Enamul Haque jnr,4,0,24,0,6.00,0,0
141,2012/13,6th,Jan 20 2013,Naeem Islam jnr,4,0,17,2,4.25,0,0
137,2012/13,10th,Jan 23 2013,Shapoor Zadran,4,0,42,1,10.50,0,1
139,2012/13,8th,Jan 22 2013,Shakib Al Hasan,4,0,18,1,4.50,0,0
143,2012/13,4th,Jan 19 2013,Kaushal Lokuarachchi,4,0,42,1,10.50,1,1
144,2012/13,3rd,Jan 19 2013,Taijul Islam,3,0,8,1,2.66,1,0
124,2012/13,23rd, Feb 2 2013,Sean Ervine,3,0,35,0,11.66,1,0
123,2012/13,24th, Feb 2 2013,Mahbubul Alam,2,0,26,1,13.00,2,1
122,2012/13,25th, Feb 4 2013,Monir Hossain,4,0,23,1,5.75,0,0
128,2012/13,19th,Jan 31 2013,Sohag Gazi,4,0,20,3,5.00,1,0
136,2012/13,11th,Jan 24 2013,Mahmudullah,1,0,15,0,15.00,0,0
127,2012/13,20th,Jan 31 2013,Arafat Sunny,1,0,12,0,12.00,0,0
135,2012/13,12th,Jan 24 2013,Nabil Samad,2,0,31,1,15.50,0,0
126,2012/13,21st, Feb 1 2013,Mashrafe Mortaza,2,0,27,0,13.50,0,0
138,2012/13,9th,Jan 23 2013,Kevin O'Brien,2,0,19,1,9.50,1,0
125,2012/13,22nd, Feb 1 2013,Enamul Haque jnr,4,0,28,3,7.00,2,0
129,2012/13,18th,Jan 29 2013,Sunzamul Islam,2,0,14,1,7.00,0,0
134,2012/13,13th,Jan 25 2013,Shakib Al Hasan,3.4,0,43,0,11.72,0,0
133,2012/13,14th,Jan 25 2013,Asif Ahmed,1,0,1,0,1.00,0,0
132,2012/13,15th,Jan 28 2013,Jacob Oram,4,0,28,1,7.00,0,0
145,2012/13,2nd,Jan 18 2013,Sohag Gazi,4,0,36,0,9.00,0,0
130,2012/13,17th,Jan 29 2013,Alfonso Thomas,4,0,12,2,3.00,0,0
131,2012/13,16th,Jan 28 2013,Monir Hossain,4,0,23,1,5.75,1,0
142,2012/13,5th,Jan 20 2013,Sunzamul Islam,4,0,39,1,9.75,0,0
141,2012/13,6th,Jan 20 2013,Abul Hasan,3,0,38,0,12.66,2,2
137,2012/13,10th,Jan 23 2013,Nabil Samad,4,0,23,2,5.75,0,0
139,2012/13,8th,Jan 22 2013,Kaushal Lokuarachchi,3,0,32,1,10.66,0,0
143,2012/13,4th,Jan 19 2013,Mosharraf Hossain,4,0,31,0,7.75,0,0
144,2012/13,3rd,Jan 19 2013,Farhad Hossain,3,0,13,1,4.33,1,0
124,2012/13,23rd, Feb 2 2013,Dilshan Munaweera,4,0,18,2,4.50,1,0
123,2012/13,24th, Feb 2 2013,Mosharraf Hossain,3,0,17,2,5.66,1,0
122,2012/13,25th, Feb 4 2013,Naeem Islam jnr,4,0,28,0,7.00,1,0
128,2012/13,19th,Jan 31 2013,Fidel Edwards,3.3,0,22,1,6.28,0,0
136,2012/13,11th,Jan 24 2013,Kevon Cooper,4,0,18,2,4.50,1,0
127,2012/13,20th,Jan 31 2013,Ravi Bopara,1,0,9,0,9.00,0,0
135,2012/13,12th,Jan 24 2013,Shapoor Zadran,3.3,0,9,2,2.57,0,0
126,2012/13,21st, Feb 1 2013,Alfonso Thomas,4,0,15,2,3.75,0,0
138,2012/13,9th,Jan 23 2013,Abdur Razzak,4,0,33,4,8.25,0,0
125,2012/13,22nd, Feb 1 2013,Naeem Islam,1,0,14,0,14.00,0,0
129,2012/13,18th,Jan 29 2013,Fidel Edwards,3.4,0,11,4,3.00,1,1
134,2012/13,13th,Jan 25 2013,Mashrafe Mortaza,2,0,16,0,8.00,0,0
133,2012/13,14th,Jan 25 2013,Shapoor Zadran,4,0,21,3,5.25,0,1
132,2012/13,15th,Jan 28 2013,Rubel Hossain,2.3,0,31,0,12.40,2,0
145,2012/13,2nd,Jan 18 2013,Sohrawordi Shuvo,4,1,23,3,5.75,1,0
130,2012/13,17th,Jan 29 2013,Shakib Al Hasan,4,0,27,0,6.75,2,0
131,2012/13,16th,Jan 28 2013,Naeem Islam jnr,4,0,45,1,11.25,0,0
142,2012/13,5th,Jan 20 2013,Samiullah Shinwari,1,0,15,0,15.00,0,0
141,2012/13,6th,Jan 20 2013,Sean Ervine,1.1,0,22,0,18.85,1,0
137,2012/13,10th,Jan 23 2013,Sunzamul Islam,4,0,38,1,9.50,0,0
139,2012/13,8th,Jan 22 2013,Mosharraf Hossain,3,0,20,1,6.66,0,0
143,2012/13,4th,Jan 19 2013,Josh Cobb,1,0,13,0,13.00,2,0
144,2012/13,3rd,Jan 19 2013,Moeen Ali,1,0,11,0,11.00,0,0
124,2012/13,23rd, Feb 2 2013,Azhar Mahmood,4,0,20,2,5.00,1,0
123,2012/13,24th, Feb 2 2013,Darren Stevens,2,0,13,0,6.50,0,0
122,2012/13,25th, Feb 4 2013,Fidel Edwards,3,0,23,0,7.66,0,0
128,2012/13,19th,Jan 31 2013,Nasir Hossain,4,0,19,2,4.75,0,0
136,2012/13,11th,Jan 24 2013,Enamul Haque jnr,4,0,12,2,3.00,0,0
127,2012/13,20th,Jan 31 2013,Al-Amin Hossain,1,0,9,0,9.00,0,0
135,2012/13,12th,Jan 24 2013,Daniel Harris,4,0,19,2,4.75,0,0
126,2012/13,21st, Feb 1 2013,Chris Liddle,4,0,27,2,6.75,1,0
138,2012/13,9th,Jan 23 2013,Amit Kumar,3,0,29,1,9.66,0,0
125,2012/13,22nd, Feb 1 2013,Farhad Reza,1,0,3,0,3.00,0,0
129,2012/13,18th,Jan 29 2013,Nasir Hossain,4,0,14,1,3.50,0,0
134,2012/13,13th,Jan 25 2013,Mosharraf Hossain,3,0,27,0,9.00,1,0
133,2012/13,14th,Jan 25 2013,Nabil Samad,4,0,34,0,8.50,2,0
132,2012/13,15th,Jan 28 2013,Kevon Cooper,4,0,21,3,5.25,1,0
145,2012/13,2nd,Jan 18 2013,Bishawnath Halder,3,0,18,1,6.00,0,0
130,2012/13,17th,Jan 29 2013,Chris Liddle,4,0,33,0,8.25,1,0
131,2012/13,16th,Jan 28 2013,Abul Hasan,4,0,43,2,10.75,0,2
142,2012/13,5th,Jan 20 2013,Dolar Mahmud,2,0,22,1,11.00,1,0
137,2012/13,10th,Jan 23 2013,Daniel Harris,2,0,14,0,7.00,0,0
144,2012/13,3rd,Jan 19 2013,Abul Hasan,4,0,20,3,5.00,2,0
124,2012/13,23rd, Feb 2 2013,Shafiul Islam,3.4,0,30,1,8.18,1,0
123,2012/13,24th, Feb 2 2013,Mohammad Ashraful,2,0,10,1,5.00,0,0
122,2012/13,25th, Feb 4 2013,Nasir Hossain,4,0,38,0,9.50,0,0
128,2012/13,19th,Jan 31 2013,Abdur Razzak,4,1,24,1,6.00,0,0
136,2012/13,11th,Jan 24 2013,Ryan ten Doeschate,1,0,11,0,11.00,0,0
127,2012/13,20th,Jan 31 2013,Shafiul Islam,4,0,32,0,8.00,0,0
126,2012/13,21st, Feb 1 2013,Saqlain Sajib,4,0,17,2,4.25,1,0
125,2012/13,22nd, Feb 1 2013,Samuel Badree,4,0,34,1,8.50,0,0
129,2012/13,18th,Jan 29 2013,Abdur Razzak,4,0,21,3,5.25,0,0
134,2012/13,13th,Jan 25 2013,Mohammad Ashraful,3,0,24,0,8.00,0,0
133,2012/13,14th,Jan 25 2013,Daniel Harris,4,0,15,1,3.75,0,1
132,2012/13,15th,Jan 28 2013,Enamul Haque jnr,4,0,38,1,9.50,0,0
145,2012/13,2nd,Jan 18 2013,Elton Chigumbura,2,0,16,1,8.00,3,1
130,2012/13,17th,Jan 29 2013,Saqlain Sajib,4,0,33,2,8.25,0,0
131,2012/13,16th,Jan 28 2013,Taijul Islam,3,0,36,1,12.00,0,0
144,2012/13,3rd,Jan 19 2013,Sean Ervine,1.3,0,6,2,4.00,0,0
124,2012/13,23rd, Feb 2 2013,Kabir Ali,4,0,31,2,7.75,0,1
123,2012/13,24th, Feb 2 2013,Jacob Oram,4,0,7,2,1.75,1,0
122,2012/13,25th, Feb 4 2013,Abdur Razzak,4,0,23,0,5.75,1,0
128,2012/13,19th,Jan 31 2013,Mohammad Sharif,1,0,21,0,21.00,0,0
136,2012/13,11th,Jan 24 2013,Arafat Sunny,4,0,23,2,5.75,1,0
127,2012/13,20th,Jan 31 2013,Azhar Mahmood,4,0,36,2,9.00,1,1
126,2012/13,21st, Feb 1 2013,Mosharraf Hossain,4,0,17,2,4.25,0,0
125,2012/13,22nd, Feb 1 2013,Nabil Samad,4,0,28,0,7.00,1,0
129,2012/13,18th,Jan 29 2013,Mohammad Sharif,2,0,13,1,6.50,0,0
134,2012/13,13th,Jan 25 2013,Saqlain Sajib,4,0,20,1,5.00,0,0
133,2012/13,14th,Jan 25 2013,Sunzamul Islam,3,0,30,1,10.00,0,0
132,2012/13,15th,Jan 28 2013,Arafat Sunny,3,0,29,0,9.66,0,0
131,2012/13,16th,Jan 28 2013,Sean Ervine,4,0,39,1,9.75,0,0
124,2012/13,23rd, Feb 2 2013,Alok Kapali,2,0,19,0,9.50,1,0
123,2012/13,24th, Feb 2 2013,Arafat Sunny,4,0,11,2,2.75,0,0
122,2012/13,25th, Feb 4 2013,Tapash Baisya,2,0,31,0,15.50,0,0
128,2012/13,19th,Jan 31 2013,Taposh Ghosh,4,0,25,1,6.25,0,0
136,2012/13,11th,Jan 24 2013,Ravi Bopara,2,0,8,1,4.00,2,0
127,2012/13,20th,Jan 31 2013,Nazmul Islam,2,0,19,0,9.50,0,0
126,2012/13,21st, Feb 1 2013,Josh Cobb,1,0,8,0,8.00,1,0
125,2012/13,22nd, Feb 1 2013,Sunzamul Islam,4,0,26,1,6.50,0,0
129,2012/13,18th,Jan 29 2013,Kevin O'Brien,4,1,13,1,3.25,0,0
132,2012/13,15th,Jan 28 2013,Ravi Bopara,2,0,22,1,11.00,1,0
124,2012/13,23rd, Feb 2 2013,Elias Sunny,3,0,19,0,6.33,0,0
123,2012/13,24th, Feb 2 2013,Enamul Haque jnr,4,0,16,2,4.00,0,0
122,2012/13,25th, Feb 4 2013,Kevin O'Brien,3,0,17,1,5.66,1,0
127,2012/13,20th,Jan 31 2013,Elias Sunny,4,0,24,3,6.00,1,0
125,2012/13,22nd, Feb 1 2013,Daniel Harris,3,0,28,0,9.33,0,0
124,2012/13,23rd, Feb 2 2013,Nazmul Islam,2,0,13,1,6.50,0,0
123,2012/13,24th, Feb 2 2013,Mahmudullah,4,0,26,0,6.50,2,0
122,2012/13,25th, Feb 4 2013,Taposh Ghosh,3,0,28,1,9.33,0,0
127,2012/13,20th,Jan 31 2013,Alok Kapali,3,0,22,0,7.33,0,0
123,2012/13,24th, Feb 2 2013,Kevon Cooper,2,0,9,0,4.50,0,0
123,2012/13,24th, Feb 2 2013,Rubel Hossain,1,0,7,1,7.00,0,0
115,2012/13,32nd, Feb 8 2013,Nazmul Hossain,4,0,36,1,9.00,3,0
115,2012/13,32nd, Feb 8 2013,Sulieman Benn,4,0,51,0,12.75,2,0
120,2012/13,27th, Feb 5 2013,Ben Edmondson,3,0,22,1,7.33,0,0
116,2012/13,31st, Feb 8 2013,Farhad Reza,4,0,35,1,8.75,1,0
121,2012/13,26th, Feb 4 2013,Azhar Mahmood,4,0,23,3,5.75,2,0
117,2012/13,30th, Feb 7 2013,Nazmul Hossain,4,0,42,2,10.50,1,0
114,2012/13,33rd, Feb 9 2013,Mohammad Sharif,3,0,22,0,7.33,1,0
115,2012/13,32nd, Feb 8 2013,Sohrawordi Shuvo,4,0,36,0,9.00,1,0
118,2012/13,29th, Feb 7 2013,Farhad Reza,4,0,39,0,9.75,0,0
120,2012/13,27th, Feb 5 2013,Monir Hossain,4,0,35,2,8.75,0,0
116,2012/13,31st, Feb 8 2013,Krishmar Santokie,4,0,18,3,4.50,1,0
121,2012/13,26th, Feb 4 2013,Shafiul Islam,2,0,13,0,6.50,0,0
117,2012/13,30th, Feb 7 2013,Dirk Nannes,4,0,22,0,5.50,2,0
114,2012/13,33rd, Feb 9 2013,Abdur Razzak,4,0,35,2,8.75,0,0
119,2012/13,28th, Feb 5 2013,Fidel Edwards,2,0,20,0,10.00,0,0
115,2012/13,32nd, Feb 8 2013,Sohag Gazi,2,0,17,0,8.50,0,0
118,2012/13,29th, Feb 7 2013,Krishmar Santokie,4,0,30,2,7.50,2,0
120,2012/13,27th, Feb 5 2013,Naeem Islam jnr,2,0,17,1,8.50,0,0
113,2012/13,34th, Feb 9 2013,Mashrafe Mortaza,4,0,30,2,7.50,1,0
19,2012/13,38th,Feb 12 2013,Nazmul Islam,4,0,16,0,4.00,0,0
116,2012/13,31st, Feb 8 2013,Asif Ahmed,3,0,29,1,9.66,1,0
121,2012/13,26th, Feb 4 2013,Nazmul Islam,3,1,15,0,5.00,1,0
17,2012/13,40th,Feb 13 2013,Sulieman Benn,4,0,33,1,8.25,0,0
117,2012/13,30th, Feb 7 2013,Sohag Gazi,3,0,34,0,11.33,0,0
114,2012/13,33rd, Feb 9 2013,Nasir Hossain,4,0,25,2,6.25,0,0
119,2012/13,28th, Feb 5 2013,Mohammad Sharif,3,0,35,0,11.66,0,0
115,2012/13,32nd, Feb 8 2013,Elton Chigumbura,2,0,22,0,11.00,0,0
118,2012/13,29th, Feb 7 2013,Shapoor Zadran,4,1,21,2,5.25,0,0
120,2012/13,27th, Feb 5 2013,Muktar Ali,3,0,20,1,6.66,1,0
113,2012/13,34th, Feb 9 2013,Alfonso Thomas,4,0,31,2,7.75,0,0
19,2012/13,38th,Feb 12 2013,Elias Sunny,4,0,39,1,9.75,0,0
116,2012/13,31st, Feb 8 2013,Sunzamul Islam,4,0,15,2,3.75,1,0
121,2012/13,26th, Feb 4 2013,Farveez Maharoof,3,0,28,2,9.33,0,0
17,2012/13,40th,Feb 13 2013,Elton Chigumbura,4,0,29,1,7.25,0,0
111,2012/13,36th,Feb 11 2013,Isuru Udana,2,0,18,0,9.00,1,0
112,2012/13,35th,Feb 11 2013,Chris Liddle,2,0,18,1,9.00,0,0
117,2012/13,30th, Feb 7 2013,Mohammad Nabi,1,0,16,0,16.00,0,0
18,2012/13,39th,Feb 13 2013,Isuru Udana,4,1,26,0,6.50,1,0
114,2012/13,33rd, Feb 9 2013,Kevin O'Brien,4,0,36,1,9.00,0,0
119,2012/13,28th, Feb 5 2013,Murad Khan,4,0,29,2,7.25,1,0
115,2012/13,32nd, Feb 8 2013,Mohammad Nabi,4,0,27,3,6.75,0,0
118,2012/13,29th, Feb 7 2013,Asif Ahmed,2,0,10,0,5.00,1,0
120,2012/13,27th, Feb 5 2013,Dilshan Munaweera,4,0,19,2,4.75,0,0
113,2012/13,34th, Feb 9 2013,Shakib Al Hasan,4,0,22,2,5.50,0,0
19,2012/13,38th,Feb 12 2013,Azhar Mahmood,3.2,0,7,3,2.10,0,0
110,2012/13,37th,Feb 12 2013,Krishmar Santokie,4,0,21,1,5.25,1,0
15,2012/13,42nd,Feb 14 2013,Arafat Sunny,4,0,38,0,9.50,0,0
14,2012/13,Race,Feb 15 2013,Sohag Gazi,4,0,34,2,8.50,1,0
16,2012/13,41st,Feb 14 2013,Fidel Edwards,4,0,36,0,9.00,4,0
116,2012/13,31st, Feb 8 2013,Noor Hossain,3,0,21,2,7.00,1,0
121,2012/13,26th, Feb 4 2013,Elias Sunny,1,0,14,0,14.00,0,0
17,2012/13,40th,Feb 13 2013,Sohag Gazi,3,0,22,1,7.33,0,0
111,2012/13,36th,Feb 11 2013,Monir Hossain,4,0,38,2,9.50,0,0
112,2012/13,35th,Feb 11 2013,Alfonso Thomas,4,0,34,3,8.50,1,0
117,2012/13,30th, Feb 7 2013,Sohrawordi Shuvo,3,0,22,1,7.33,0,0
18,2012/13,39th,Feb 13 2013,Monir Hossain,3,0,30,1,10.00,0,0
114,2012/13,33rd, Feb 9 2013,Murad Khan,2,0,18,0,9.00,0,0
119,2012/13,28th, Feb 5 2013,Kevin O'Brien,4,0,28,1,7.00,1,0
115,2012/13,32nd, Feb 8 2013,Shaun Tait,3,1,16,3,5.33,0,0
118,2012/13,29th, Feb 7 2013,Daniel Harris,2,0,13,0,6.50,0,0
120,2012/13,27th, Feb 5 2013,Dirk Nannes,4,0,32,0,8.00,1,0
113,2012/13,34th, Feb 9 2013,Mosharraf Hossain,4,0,14,1,3.50,0,0
19,2012/13,38th,Feb 12 2013,Hamid Hassan,4,0,14,1,3.50,1,0
110,2012/13,37th,Feb 12 2013,Shahadat Hossain,4,0,38,0,9.50,1,0
15,2012/13,42nd,Feb 14 2013,Rubel Hossain,4,0,29,1,7.25,0,0
14,2012/13,Race,Feb 15 2013,Elton Chigumbura,4,0,33,1,8.25,1,0
16,2012/13,41st,Feb 14 2013,Kevin O'Brien,4,0,31,2,7.75,0,0
116,2012/13,31st, Feb 8 2013,Ben Edmondson,4,0,29,2,7.25,2,0
13,2012/13,Elimination,Feb 16 2013,Jacob Oram,4,0,18,1,4.50,2,0
121,2012/13,26th, Feb 4 2013,Alok Kapali,4,0,24,2,6.00,0,0
17,2012/13,40th,Feb 13 2013,Sohrawordi Shuvo,4,0,29,0,7.25,0,0
111,2012/13,36th,Feb 11 2013,Dilshan Munaweera,4,0,24,1,6.00,0,0
112,2012/13,35th,Feb 11 2013,Tillakaratne Dilshan,4,0,35,0,8.75,1,0
117,2012/13,30th, Feb 7 2013,Elton Chigumbura,4,0,47,1,11.75,1,0
18,2012/13,39th,Feb 13 2013,Abul Hasan,2,0,28,0,14.00,0,2
114,2012/13,33rd, Feb 9 2013,Danza Hyatt,3,0,22,1,7.33,1,0
119,2012/13,28th, Feb 5 2013,Nasir Hossain,4,0,50,0,12.50,0,0
115,2012/13,32nd, Feb 8 2013,Arafat Sunny,2,0,10,1,5.00,1,0
118,2012/13,29th, Feb 7 2013,Sunzamul Islam,1,0,6,0,6.00,0,0
120,2012/13,27th, Feb 5 2013,Dwayne Smith,3.4,0,25,2,6.81,1,0
113,2012/13,34th, Feb 9 2013,Chris Liddle,4,0,16,2,4.00,1,0
19,2012/13,38th,Feb 12 2013,Alok Kapali,1,0,12,0,12.00,0,0
11,2012/13,Semi-Final,Feb 18 2013,Jacob Oram,4,0,24,0,6.00,0,0
110,2012/13,37th,Feb 12 2013,Jehan Mubarak,3,0,35,1,11.66,0,0
545,2018/19,1st, Jan 5 2019,Abu Jayed,4,0,30,2,7.50,1,0
15,2012/13,42nd,Feb 14 2013,Taskin Ahmed,4,0,31,1,7.75,1,0
14,2012/13,Race,Feb 15 2013,Mohammad Nabi,4,0,17,2,4.25,1,0
16,2012/13,41st,Feb 14 2013,Abdur Razzak,4,0,33,1,8.25,2,0
116,2012/13,31st, Feb 8 2013,Dilshan Munaweera,4,0,28,0,7.00,0,0
13,2012/13,Elimination,Feb 16 2013,Taskin Ahmed,3,0,31,4,10.33,1,0
121,2012/13,26th, Feb 4 2013,Samuel Badree,4,0,25,1,6.25,2,0
17,2012/13,40th,Feb 13 2013,Mominul Haque,3,0,14,2,4.66,0,0
111,2012/13,36th,Feb 11 2013,Abul Hasan,1,0,20,0,20.00,0,0
112,2012/13,35th,Feb 11 2013,Shakib Al Hasan,4,0,24,2,6.00,0,0
117,2012/13,30th, Feb 7 2013,Nasir Hossain,4,0,43,1,10.75,1,0
18,2012/13,39th,Feb 13 2013,Taijul Islam,3,0,38,0,12.66,0,0
114,2012/13,33rd, Feb 9 2013,Shaun Tait,4,0,25,2,6.25,0,0
119,2012/13,28th, Feb 5 2013,Taposh Ghosh,1,0,15,0,15.00,0,0
115,2012/13,32nd, Feb 8 2013,Rubel Hossain,3,0,14,3,4.66,0,1
118,2012/13,29th, Feb 7 2013,Jacob Oram,3,0,17,2,5.66,1,0
120,2012/13,27th, Feb 5 2013,Sohrawordi Shuvo,2,0,15,1,7.50,0,0
113,2012/13,34th, Feb 9 2013,Hamid Hassan,4,0,28,0,7.00,1,0
19,2012/13,38th,Feb 12 2013,Alauddin Babu,3,0,24,3,8.00,0,0
11,2012/13,Semi-Final,Feb 18 2013,Taskin Ahmed,4,0,24,1,6.00,0,0
110,2012/13,37th,Feb 12 2013,Nabil Samad,4,0,37,0,9.25,0,0
545,2018/19,1st, Jan 5 2019,Robbie Frylinck,4,0,14,4,3.50,1,0
544,2018/19,2nd, Jan 5 2019,Mehidy Hasan Miraz,3,0,38,1,12.66,0,0
543,2018/19,3rd, Jan 6 2019,Abu Hider,2,0,10,0,5.00,0,0
15,2012/13,42nd,Feb 14 2013,Enamul Haque jnr,4,0,23,1,5.75,1,0
14,2012/13,Race,Feb 15 2013,Sajedul Islam,4,1,23,3,5.75,0,0
16,2012/13,41st,Feb 14 2013,Saju Datta,4,0,23,3,5.75,0,0
116,2012/13,31st, Feb 8 2013,Monir Hossain,2,0,16,0,8.00,0,0
13,2012/13,Elimination,Feb 16 2013,Rubel Hossain,3,0,12,0,4.00,0,0
121,2012/13,26th, Feb 4 2013,Shapoor Zadran,4,0,20,0,5.00,2,0
17,2012/13,40th,Feb 13 2013,Hamid Hassan,4,0,31,3,7.75,0,1
111,2012/13,36th,Feb 11 2013,Sean Ervine,1,0,11,0,11.00,2,1
112,2012/13,35th,Feb 11 2013,Mohammad Ashraful,3,0,26,0,8.66,0,0
117,2012/13,30th, Feb 7 2013,Mohammad Sharif,3,0,28,1,9.33,0,1
18,2012/13,39th,Feb 13 2013,Dilshan Munaweera,4,0,30,0,7.50,0,0
114,2012/13,33rd, Feb 9 2013,Arafat Sunny,3,0,26,0,8.66,0,0
119,2012/13,28th, Feb 5 2013,Cameron Borgas,1,0,14,0,14.00,1,0
115,2012/13,32nd, Feb 8 2013,Kevon Cooper,3,0,18,0,6.00,0,0
118,2012/13,29th, Feb 7 2013,Arafat Sunny,3,0,15,0,5.00,0,0
120,2012/13,27th, Feb 5 2013,Sohag Gazi,2,0,11,1,5.50,0,0
113,2012/13,34th, Feb 9 2013,Azhar Mahmood,2,0,10,1,5.00,1,0
19,2012/13,38th,Feb 12 2013,Shakib Al Hasan,4,0,18,1,4.50,1,0
11,2012/13,Semi-Final,Feb 18 2013,Kevon Cooper,4,0,39,2,9.75,3,0
110,2012/13,37th,Feb 12 2013,Noor Hossain,4,0,37,1,9.25,0,0
545,2018/19,1st, Jan 5 2019,Khaled Ahmed,4,0,15,1,3.75,2,0
544,2018/19,2nd, Jan 5 2019,Mustafizur Rahman,4,0,27,0,6.75,1,0
543,2018/19,3rd, Jan 6 2019,Mahedi Hasan,4,0,24,2,6.00,0,0
15,2012/13,42nd,Feb 14 2013,Ryan ten Doeschate,4,0,45,1,11.25,3,0
14,2012/13,Race,Feb 15 2013,Paul Stirling,2,0,32,1,16.00,0,0
16,2012/13,41st,Feb 14 2013,Nasir Hossain,4,0,14,1,3.50,0,0
116,2012/13,31st, Feb 8 2013,Sean Ervine,4,0,21,1,5.25,0,0
13,2012/13,Elimination,Feb 16 2013,Kevon Cooper,4,0,20,0,5.00,0,0
121,2012/13,26th, Feb 4 2013,Asif Ahmed,3.5,0,32,1,8.34,1,0
17,2012/13,40th,Feb 13 2013,Nazmul Islam,3,0,23,1,7.66,0,0
111,2012/13,36th,Feb 11 2013,Taijul Islam,4,0,34,1,8.50,0,0
112,2012/13,35th,Feb 11 2013,Mosharraf Hossain,2,0,18,0,9.00,0,0
117,2012/13,30th, Feb 7 2013,Abdur Razzak,4,0,38,2,9.50,1,0
18,2012/13,39th,Feb 13 2013,Muktar Ali,4,0,40,1,10.00,2,0
114,2012/13,33rd, Feb 9 2013,Rubel Hossain,4,0,42,1,10.50,0,0
119,2012/13,28th, Feb 5 2013,Danza Hyatt,1,0,18,1,18.00,0,0
115,2012/13,32nd, Feb 8 2013,Enamul Haque jnr,2.5,0,14,3,4.94,0,0
118,2012/13,29th, Feb 7 2013,Kevon Cooper,3.2,0,10,4,3.00,1,0
120,2012/13,27th, Feb 5 2013,Elton Chigumbura,4,0,30,1,7.50,1,1
113,2012/13,34th, Feb 9 2013,Shafiul Islam,1.4,0,23,0,13.80,1,0
19,2012/13,38th,Feb 12 2013,Alfonso Thomas,3,0,34,1,11.33,0,0
11,2012/13,Semi-Final,Feb 18 2013,Enamul Haque jnr,4,0,24,2,6.00,1,0
110,2012/13,37th,Feb 12 2013,Dirk Nannes,2,0,12,1,6.00,1,0
545,2018/19,1st, Jan 5 2019,Nayeem Hasan,4,0,10,2,2.50,0,0
544,2018/19,2nd, Jan 5 2019,Alauddin Babu,3,0,53,0,17.66,1,1
543,2018/19,3rd, Jan 6 2019,Shoaib Malik,4,1,20,0,5.00,1,0
15,2012/13,42nd,Feb 14 2013,Mashrafe Mortaza,3,0,14,0,4.66,0,0
14,2012/13,Race,Feb 15 2013,Sohrawordi Shuvo,1,0,24,0,24.00,0,0
16,2012/13,41st,Feb 14 2013,Hamid Hassan,4,0,22,3,5.50,0,1
116,2012/13,31st, Feb 8 2013,Chamara Kapugedera,4,0,28,0,7.00,0,0
13,2012/13,Elimination,Feb 16 2013,Enamul Haque jnr,4,0,16,0,4.00,0,0
121,2012/13,26th, Feb 4 2013,Daniel Harris,3,0,30,0,10.00,0,0
17,2012/13,40th,Feb 13 2013,Azhar Mahmood,3.4,0,16,2,4.36,3,0
111,2012/13,36th,Feb 11 2013,Muktar Ali,4,0,25,3,6.25,1,0
112,2012/13,35th,Feb 11 2013,Farhad Reza,4,0,46,0,11.50,1,0
117,2012/13,30th, Feb 7 2013,Kevin O'Brien,3,0,26,0,8.66,0,0
18,2012/13,39th,Feb 13 2013,Shaun Tait,4,0,35,2,8.75,4,0
