Product,Rate,Top_Sell_Rank,Popularity_Rank
BUISCUT COX-1000ML,5.5,380,732
BULLET 10*12,50.0,21,99
BUTTER PAPER,200.0,224,411
BUTTER PAPER(24PCS),50.0,741,614
BUTTERMILK COVER,175.0,812,732
CASH,40000.0,795,524
CHANDRA 75ML TEA,13.0,98,116
CHANDRA FANCY WINE,45.0,489,622
CHANDRA HEXA GLASS,52.0,694,712
CHANDRA TEA,20.0,454,571
CHEF CAP,120.0,175,131
CHILLI SAUCES,25.0,812,732
CHINA 10*12 KG,115.0,321,269
CHINA 13*16 KG,110.0,316,246
CHINA 16*20 KG,110.0,413,346
CHUNARI D-CUT,100.0,834,732
CITIZEN 13*16-M.W,140.0,143,146
CITIZEN 16*20M.W,130.0,157,191
CITIZEN M.W 10*12,140.0,169,176
CITIZEN M.W-17*23,130.0,757,655
CITIZEN-BK-10*12,90.0,727,732
CLASSIC 250ML,27.5,45,57
CLASSIC 250ML(100),34.0,80,110
CLASSIC 300ML,28.0,49,75
CLASSIC COLOUR,31.0,203,345
CLASSIC ENJOY(750),1425.0,461,139
CLASSIC PLATES COLO,1620.0,834,655
CLING FILM 600MTS,500.0,850,732
CLOTH SEAL COVER,1.2,198,732
COLOUR GLASS,45.0,774,732
CUP CAKES,100.0,795,712
CYCLE 10*12 BK KG,85.0,94,70
CYCLE 13*16 BK KG,85.0,83,64
CYCLE 16*20 BK-KG,90.0,265,181
CYCLE-10*12(100)-BL,6.8,55,331
CYCLE-100(13*16)N,15.5,425,596
CYCLE-13*16(100)BLU,12.3,359,655
CYCLE-13*16(100PCS),13.0,607,732
CYCLE-13*16-50W,14.0,747,732
CYCLE-BK-10*12,13.0,6,34
CYCLE-BK-13*16,83.0,28,71
CYCLE-BK-16*20,100.0,561,596
CYCLE-BLU-10*12,7.1,2,13
CYCLE-BLU-13*16,13.5,14,32
DHARAM,120.0,489,426
DHARAM 1.5KG SPECIA,225.0,803,655
DHARAM 1/2KG SPECIA,225.0,380,225
DHARAM 10 PCS,220.0,834,732
DHARAM 1KG,150.0,347,222
DHARAM 1KG SPECIAL,150.0,428,241
DHARAM 6PC SMALL,180.0,293,248
